source_type,event_name,source,year,session_title,abstract,topic_terms,url,source_url,crawl_depth
conference_session,Identiverse,Identiverse 2023 archive,2023,Session Title Speaker(s) Recording Presentation,Session Title Speaker(s) Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,How to Audit an AI Model for Bias Brenda Leong - BNH.AI Tatiana Rice - Future of Privacy Forum Recording Presentation,ai_and_automation; privacy_and_risk,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Identity Is the Key to Supply Chain Security Marc Boorshtein - Tremolo Security Recording Presentation,privacy_and_risk,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Introduction to Identity Espen Bago - Norwegian Labour and Welfare Admin Lance Peterman - Equitable / Univ of North Carolina at Charlotte Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Kantara Initiative - Global Leader in Digital Identity Kay Chopard - Kantara Initiative Lynzie Adams - Kantara Initiative Recording Presentation,identity_representation,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Go Passwordless with Passkeys: A WebAuthn Developer Workshop Matthew Miller - Cisco Megan Shamas - FIDO Alliance Nick Steele - 1Password Shane Weeden - IBM Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Introduction to Privacy Jamie Danker - Venable LLP Ivy Orecchio - Venable LLP Zachary Martin - Venable LLP Recording Presentation,privacy_and_risk,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Seven White Papers on Identity and the OpenID Foundation Strategy Gail Hodges - OpenID Foundation Nancy Cam-Winget - Cisco Nat Sakimura - OpenID Foundation Vittorio Bertocci - Auth0/Okta Ramesh Narayanan - MOSIP Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Solving the Identity Skills Gap - What Skills are Needed and How Can We Grow New Talent Miki Brotzler - NAB Kevin Streater - ForgeRock Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Identity Under Attack Andre Durand - Ping Identity Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Guest Keynote MJ Hegar Not Available Not Available,Guest Keynote MJ Hegar Not Available Not Available,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Session Title Speaker(s) Recording Presentation,Session Title Speaker(s) Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Making Passkeys Inevitable Andrew Shikiar - FIDO Alliance Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Open Standards for the Intelligent Trust Fabric Alex Simons - Microsoft Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Bah-da-bah-bah Bottleneck: Addressing Crew Onboarding Challenges at McDonald’s Ebony Love - McDonald's Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Passkeys are Here! What Now? Christiaan Brand - Google Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Stealing Identities and Privilege Escalation: The Real-World Story of a Ransomware Attack Joseph Carson - Delinea Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Your Customer Doesn't Have a Credential — Now What? Steve Pannifer - Consult Hyperion Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Zero Trust Architecture for B2C Identity at General Motors Andrew Cameron - GM Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Liminal Presents: The Evolving Digital Identity Landscape Travis Jarae - Liminal Recording Presentation,identity_representation,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,"Oops, I got 10 Billion Users! Top 10 Steps to a Healthy and Valuable Account System Robin Goldstein - Microsoft Recording Presentation",,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Seamless and Secure — Give Your Customers the Experience They Deserve Tom Eggleston - ProofID Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Securing Organizations against Large Scale Identity Attacks Jose Rodriguez - IBM Priti Patil - IBM Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,The State of OAuth Aaron Parecki - Okta Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Veza Presents: IGA Strategies for Achieving Least Privilege Rich Dandliker - Veza David Tyburski - Wynn Resorts Recording Presentation,access_governance,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,BeyondTrust Presents: Cyber-Defense Strategies to Protect Cloud Resources & Identities Morey Haber - BeyondTrust Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
conference_session,Identiverse,Identiverse 2023 archive,2023,Recording,Ceremonies Ian Glazer - IDPro Recording Presentation,,https://events.identiverse.com/identiverse2023,https://events.identiverse.com/identiverse2023,0
